,0
576,-0.07686447461219137
577,-0.1593482892032272
578,-0.21696097902020206
579,-1.1195500034302452
580,-0.9420719388266534
581,-1.0830598326083754
582,-0.6225932157949439
583,-1.1695807932718536
584,-1.493639495061509
585,-0.901712922559027
586,-1.1435615713837564
587,-1.0784679562989523
588,-1.2221263237312694
589,-0.8062885152145924
590,-1.3822776567476347
591,-1.7160847749472203
592,-0.5243670581364444
593,-0.8670348232035037
594,-0.5058928463951724
595,-0.1541750108679092
596,-0.427383748077125
597,-1.0292606456574342
598,-1.3543472025119812
599,-1.2716767263478406
600,-1.6130991593850266
601,-1.2518093168791287
602,-1.2452662678621553
603,-1.2128466659675436
604,-1.2072839499188148
605,-1.5036562638317663
606,-1.462297066381967
607,-0.8300909845408886
608,-0.002063787928065164
609,-0.22523145982491188
610,-0.1870373427054033
611,-0.09382903959899602
612,-0.273913811876914
613,0.08155204849218567
614,0.08162215077911261
615,-0.13195525750067372
616,0.029985268200702464
617,0.12167607105354605
618,-0.24424811520628253
619,-0.37504493440414866
620,-0.1167890370444784
621,-0.23939311511043115
622,0.265688522278023
623,0.35841742428336065
624,0.27253540219248773
625,0.09650420193357556
626,-0.1995078527494627
627,-0.3396054306746614
628,-0.1282790748052114
629,0.25368346868861424
630,0.3211747698273131
631,-0.010132313470792909
632,-0.03689657445313976
633,0.5518891539476782
634,0.5872976933165965
635,1.1511968805951507
636,0.7971275472410992
637,0.12690714526830238
638,0.317312863494033
639,0.4140209292603334
640,-0.11030621460385515
641,0.07328149841092069
642,0.011503049298877688
643,0.29710816641942994
644,0.7455295110935309
645,0.10049607147741435
646,0.15017850551940803
647,0.15385426217697828
648,0.09211810140730892
649,0.5880052509302605
650,-0.19163579036135125
651,0.8322788372948988
652,0.4780963935753042
653,-0.060911560249403696
654,0.4883448433885049
655,0.5925184175058629
656,0.34722300147628893
657,-0.21487399203360802
658,-0.33571079903636436
659,-0.6198318133684118
660,-0.029383754122268346
661,-0.41929868618891586
662,-0.2330036441608634
663,0.026481701485216558
664,0.17499983310368972
665,0.489190226839471
666,-0.11122227994190137
667,0.09720122550869181
668,0.4081909393061931
669,-0.2249598358537055
670,-0.36047207618729216
671,-0.0879416221450966
672,-0.5347368378142066
673,-0.4933850079095854
674,-0.282225213713577
675,-0.6616983842303634
676,-0.3524957656752288
677,-0.35778035906954164
678,0.08659629120243029
679,0.5858834825518318
680,-0.33457869800213214
681,0.47967485612981964
682,-0.4277002056939976
683,0.8180645591259506
684,-1.0493022428874819
685,-0.5076093569019511
686,-0.494052023332999
687,0.0025334685474596164
688,-0.053513569805588634
689,-1.0650560479697557
690,-0.16290842892874835
691,0.2887159650978379
692,0.6708710309265253
693,0.4261879811024607
694,-0.12008336799960473
695,0.3287533784271721
696,-0.09891690192985658
697,-1.0231251706897657
698,0.4994226130150077
699,0.04108242382622507
700,-0.9867913176913359
701,0.639528539605513
702,-0.08680790873683097
703,0.7722403113382179
704,0.5821087639978275
705,0.12686545646056446
706,0.5192825119649087
707,0.37305472044372623
708,0.05472976702508747
709,0.16788806327977834
710,0.44273230968141863
711,0.2951136146596083
712,0.5200082266673447
713,0.11753247010397372
714,0.604989419712147
715,0.15579946373253817
716,0.1389896097979011
717,0.22744034850900396
718,0.35791706651646615
719,0.37600297554033046
720,0.6768260585514185
721,0.7034355783768995
722,0.5279075833208862
723,0.26414608525926475
724,0.18907496412250735
725,0.33276909063335136
726,-0.14941977693311737
727,-0.48335650829678434
728,-0.35330898662921717
729,-0.5238379107884521
730,-0.20078988800166897
731,-0.28928121502751836
732,-0.7246230878469007
733,0.16857994233949114
734,-0.32297095267316145
735,-0.8843917378518851
736,-0.7496102863713539
737,-0.8749091337660606
738,-0.23008346592104312
739,-0.6210351016100208
740,-0.9460987952600999
741,-0.9074724926477542
742,-0.6615623185590667
743,-0.45889484806991154
744,-1.3406249272996948
745,-0.984174565786629
746,-1.398195234639161
747,-1.2312219715361532
748,-1.2655236020301266
749,-1.1467043511019992
750,-1.4985130941627822
751,-1.1962930120210533
752,-1.7676173823056445
753,-1.3888623893173284
754,-1.1597568087847334
755,-1.6456694308072124
756,-0.8644418726896561
757,-1.351398907378355
758,-1.3711651276351544
759,-1.1373998997653632
760,-0.9317235895432945
761,-0.9075267569283829
762,-1.5355955798428422
763,-1.1651222112724609
764,-1.2474673965567127
765,-1.8849068349047127
766,-1.8262583792384555
767,-2.401398176707308
768,-1.625036028358394
769,-1.0055020915681994
770,-0.9642981994407513
771,-1.2101781915692558
772,-0.99641400215117
773,-1.4310102997392788
774,-0.7236773547489843
775,-0.5253160096671312
776,-1.1916728295391454
777,-0.6189050048590752
778,0.16698779386893703
779,-0.06478730276318645
780,-0.28941586967465316
781,0.15153648081690063
782,0.0465080669338338
783,-0.3488515084122841
784,-0.10916098964785181
785,-0.14394745855715785
786,-1.4517923891181617
787,-0.8249119737323283
788,-1.093101085946525
789,-0.2690845331579177
790,-0.7615533672011363
791,-0.41929187248026123
792,-0.40555972630702586
793,-0.6731899920082869
794,-0.6283930332077667
795,-0.77037836131634
796,-0.7865023717918973
797,-0.6757681256099071
798,-0.6267465210059537
799,-0.4107793913319271
800,-0.6119812330089678
801,0.48022879416311826
802,0.6315713421375899
803,0.9093171422734447
804,0.30806431818877433
805,0.74601451018715
806,1.075824584053521
807,1.062930667462655
808,-0.656350849554352
809,-0.1864895453280604
810,-0.5630523109516843
811,-0.8189865258223221
812,-0.4595018580105368
813,-0.8996792420908344
814,-0.21355150285332325
815,-0.7259801055465176
816,-0.7920548384119721
817,-0.6987174302616115
818,-0.77678411096114
819,-0.5920236492598971
820,0.12276192542204045
821,0.14422610800616686
822,0.08811599096787104
823,0.21661533710604042
824,-0.6802469784256688
825,-0.014227963558988588
826,-0.47343695061789015
827,-1.2828488465936405
828,-0.9802985667026747
829,-1.2535546600160294
830,-1.1215864150200119
831,-1.1243822296203734
832,-1.054532901136638
833,-2.29344521730662
834,-1.4240040013736681
835,-1.2704702705608173
836,-1.6521258381575565
837,-1.267906648100031
838,-1.3816501208710794
839,-1.562115661988818
840,-1.7775206198102744
841,-1.6600874506426644
842,-2.5043360956679415
843,-2.2633284755588337
844,-2.7870145301682143
845,-2.8033058748546074
846,-2.115827818207704
847,-1.7030438096415668
848,-2.4840021188883465
849,-2.5054631837552157
850,-3.1097759833202563
851,-2.2921589369076636
852,-2.200346598602309
853,-2.146304379082322
854,-2.081973178452158
855,-2.4620201578583383
856,-0.8078765208007943
857,-1.661480916479165
858,-0.5395795150419018
859,0.6098851738150421
860,-0.28005781481504455
861,-1.507268463638386
862,-1.1502144119441464
863,-0.15323262235220314
