,Brent,Shanghai,WTI
408,66.13999938964844,68.50800460442359,60.439998626708984
409,66.38999938964844,68.05886526956338,60.52000045776367
410,67.19999694824219,68.51307978817815,61.11000061035156
411,67.91999816894531,69.37309655258389,61.68000030517578
412,68.16000366210938,69.97984428486185,61.720001220703125
413,68.44000244140625,69.95196340839989,61.68000030517578
414,66.0,69.21281918351954,61.060001373291016
415,66.25,69.30280494373181,61.18000030517578
416,68.5999984741211,71.76092255261617,63.04999923706055
417,68.91000366210938,73.11364830580568,63.27000045776367
418,68.2699966430664,72.0051598093253,62.70000076293945
419,65.44000244140625,73.16687002032896,59.61000061035156
420,65.37000274658203,69.32845739896767,59.560001373291016
421,64.9800033569336,68.91839197430346,59.040000915527344
422,64.19999694824219,69.022912642586,58.08000183105469
423,64.48999786376953,67.52070840343575,58.22999954223633
424,64.0,67.14200806607542,57.810001373291016
425,64.62000274658203,67.28787412905484,58.52000045776367
426,64.8499984741211,67.46049134311873,58.540000915527344
427,64.58999633789062,67.12983286044098,58.34000015258789
428,63.209999084472656,66.59135733333609,56.7400016784668
429,62.040000915527344,64.75809644363883,55.59000015258789
430,54.45000076293945,59.907435963313574,50.11000061035156
431,53.959999084472656,57.00367618187949,49.61000061035156
432,55.279998779296875,56.56305869761546,50.75
433,54.93000030517578,58.67083711361695,50.95000076293945
434,54.470001220703125,58.09348909092526,50.31999969482422
435,53.27000045776367,57.12367624659414,49.56999969482422
436,54.0099983215332,56.96284095119983,49.939998626708984
437,55.790000915527344,57.904635964348365,51.16999816894531
438,56.34000015258789,58.25562884326395,51.41999816894531
439,57.31999969482422,58.51155408767026,52.04999923706055
440,57.75,58.172022797835,52.04999923706055
441,59.119998931884766,59.10351262038584,53.290000915527344
442,59.310001373291016,59.966843775793585,53.779998779296875
443,58.5,59.153566555125806,53.380001068115234
444,56.29999923706055,56.95824348665141,51.43000030517578
445,54.95000076293945,56.81236172729791,49.900001525878906
446,53.43000030517578,54.3459735978965,48.72999954223633
447,52.18000030517578,52.37364573556285,47.09000015258789
448,50.52000045776367,50.47476272866192,44.7599983215332
449,51.900001525878906,51.752992883149695,46.75
450,51.86000061035156,52.95865440887705,47.18000030517578
451,51.130001068115234,52.82287053778614,46.779998779296875
452,49.9900016784668,53.650901348437166,45.900001525878906
453,45.27000045776367,51.51384179373273,41.279998779296875
454,34.36000061035156,48.78013667162691,31.1299991607666
455,37.220001220703125,44.28703042891934,34.36000061035156
456,35.790000915527344,39.53648980767056,32.97999954223633
457,33.220001220703125,37.51652409032774,31.5
458,33.849998474121094,38.00187687376489,31.729999542236328
459,30.049999237060547,35.42071131841137,28.700000762939453
460,28.729999542236328,35.25104701715099,26.950000762939453
461,24.8799991607666,33.79863628190331,20.3700008392334
462,28.469999313354492,32.59820585148699,25.219999313354492
463,26.979999542236328,34.45559104106709,22.43000030517578
464,27.030000686645508,34.236342131803795,23.36000061035156
465,27.149999618530273,35.86084351486538,24.010000228881836
466,27.38999938964844,36.71764477818395,24.489999771118164
467,26.34000015258789,35.59429195062558,22.600000381469727
468,24.93000030517578,35.260352154730086,21.510000228881836
469,22.760000228881836,34.628555967661924,20.09000015258789
470,22.739999771118164,37.37040913411321,20.479999542236328
471,24.739999771118164,37.0265770964634,20.309999465942383
472,29.940000534057617,40.70823936979823,25.31999969482422
473,34.11000061035156,40.02428293505013,28.34000015258789
474,31.8700008392334,41.98101893187347,23.6299991607666
475,32.84000015258789,41.562572126630975,25.09000015258789
476,31.479999542236328,42.68991823729873,22.760000228881836
477,31.739999771118164,40.52536576313128,22.40999984741211
478,29.600000381469727,39.820750017057435,20.11000061035156
479,27.690000534057617,38.94556250454965,19.8700008392334
480,27.81999969482422,36.59520174904392,19.8700008392334
481,28.079999923706055,35.83940678947978,18.270000457763672
482,25.56999969482422,34.33160913565054,-37.630001068115234
483,19.329999923706055,32.407668822965206,10.010000228881836
484,20.3700008392334,29.78446641618576,13.779999732971191
485,21.329999923706055,32.1187058028911,16.5
486,21.440000534057617,32.70961966276384,16.940000534057617
487,19.989999771118164,30.391616059665484,12.779999732971191
488,20.459999084472656,29.1589630519678,12.34000015258789
489,22.540000915527344,31.717550404032593,15.0600004196167
490,25.270000457763672,32.365661874235464,18.84000015258789
491,29.719999313354492,34.89343588061318,23.989999771118164
492,29.459999084472656,34.79925659156752,23.549999237060547
493,30.969999313354492,35.094159300017736,24.739999771118164
494,29.6299991607666,34.39792974837943,24.13999938964844
495,29.979999542236328,33.58692565995895,25.780000686645508
496,29.190000534057617,35.48382584714494,25.290000915527344
497,31.1299991607666,34.591682714103335,27.559999465942383
498,32.5,36.57660015711088,29.43000030517578
499,34.810001373291016,37.683771206266655,31.81999969482422
500,34.650001525878906,37.616407555366095,32.5
501,35.75,37.84058013151146,33.4900016784668
502,36.060001373291016,39.22453179702019,33.91999816894531
503,35.130001068115234,37.34731574914569,33.25
504,36.16999816894531,38.510586390003965,34.349998474121094
505,34.7400016784668,38.23888108059117,32.810001373291016
506,35.290000915527344,38.09882528244064,33.709999084472656
507,35.33000183105469,38.515368168722894,35.4900016784668
508,38.31999969482422,38.96977377781205,35.439998626708984
509,39.56999969482422,39.092427484346246,36.810001373291016
510,39.790000915527344,40.93015527850404,37.290000915527344
511,39.9900016784668,39.41136046274793,37.40999984741211
512,42.29999923706055,40.074832606963554,39.54999923706055
513,40.79999923706055,41.75963934652096,38.189998626708984
514,41.18000030517578,40.90349713849151,38.939998626708984
515,41.72999954223633,40.458996108982454,39.599998474121094
516,38.54999923706055,39.87252156962096,36.34000015258789
517,38.72999954223633,37.6551872082544,36.2599983215332
518,39.720001220703125,36.795437379808575,37.119998931884766
519,40.959999084472656,38.8531628928041,38.380001068115234
520,40.709999084472656,41.57493669593031,37.959999084472656
521,41.5099983215332,41.68254736922449,38.84000015258789
522,42.189998626708984,42.22391580155114,39.75
523,43.08000183105469,42.043188487126855,40.459999084472656
524,42.630001068115234,42.25033264037192,40.369998931884766
525,40.310001373291016,42.36687595997984,38.0099983215332
526,41.709999084472656,40.36907288011209,39.70000076293945
527,41.150001525878906,41.30176929381746,39.27000045776367
528,42.029998779296875,41.51803293405434,39.81999969482422
529,43.13999938964844,42.17762226046757,40.650001525878906
530,43.099998474121094,42.27644503846808,40.630001068115234
531,43.08000183105469,42.16721453594625,40.619998931884766
532,43.290000915527344,42.59293663061224,40.900001525878906
533,42.349998474121094,42.67866076265077,39.619998931884766
534,43.2400016784668,41.76974346896553,40.54999923706055
535,42.720001220703125,42.262585189800895,40.099998474121094
536,42.900001525878906,41.7786297290294,40.290000915527344
537,43.790000915527344,42.11098076401912,41.20000076293945
538,43.369998931884766,41.31486232980374,40.75
539,43.13999938964844,43.029677445416056,40.59000015258789
540,43.279998779296875,41.9527407667194,40.810001373291016
541,44.31999969482422,42.87985454291159,41.959999084472656
